,0,1,2,3,passive,noise,value,trend
102,0.0,1.0,3.0,96.0,,-0.003271173075520606,-0.003304184328435933,0.0001375644111700769
103,0.0,1.0,4.0,95.0,,-0.003290907692595657,-0.003330513951459446,0.00017517676528000514
104,0.0,1.0,5.0,94.0,,-0.0030585921860273313,-0.0031012192099475477,0.0001978189918381279
105,0.0,1.0,6.0,93.0,,-0.0029381411857920536,-0.0029841671860085794,0.00022447545638848432
106,0.0,1.0,7.0,92.0,,-0.0027507042465061415,-0.0027990486628698408,0.00024323522184954705
107,0.0,1.0,8.0,91.0,,-0.002650913623647888,-0.0027025842964488733,0.00026711209233232225
108,0.0,1.0,9.0,90.0,,-0.0024962837751290046,-0.0025494174699873806,0.0002830736391155053
109,0.0,1.0,10.0,89.0,,-0.002363592407420012,-0.002418204136697799,0.00029866556774171826
110,0.0,1.0,11.0,88.0,,-0.0022485488670144216,-0.00230456570229598,0.00031402767560972933
111,0.0,1.0,12.0,87.0,,-0.002174935928407895,-0.0022300944395862166,0.0003330191590462661
112,0.0,1.0,13.0,86.0,,-0.0020809968717907523,-0.0021365026442150548,0.0003475827946102239
113,0.0,1.0,14.0,85.0,,-0.002004944913887141,-0.002061599372033096,0.00036357954113896973
114,0.0,1.0,15.0,84.0,,-0.0019342635411460085,-0.001991878735785435,0.00037916245941671534
115,0.0,1.0,16.0,83.0,,-0.0018688839866317641,-0.0019261904242874328,0.00039428122336127025
116,0.0,1.0,17.0,82.0,,-0.001810017254478824,-0.0018670862869677451,0.0004096117050158554
117,0.0,1.0,18.0,81.0,,-0.0017552120071272492,-0.0018117653285339985,0.00042475186984414215
118,0.0,1.0,19.0,80.0,,-0.0017021896568665262,-0.0017574930140201728,0.00043915731010679693
119,0.0,1.0,20.0,79.0,,-0.001658864371955282,-0.001714767482498547,0.0004556039030236825
120,0.0,1.0,21.0,78.0,,-0.0016248084942167562,-0.0016805426624861841,0.0004737877828646653
121,0.0,1.0,22.0,77.0,,-0.0015974524893361819,-0.001652181174898626,0.0004933198202159428
122,0.0,1.0,23.0,76.0,,-0.0015878055346749687,-0.0016412086966429706,0.0005181258000099831
123,0.0,1.0,24.0,75.0,,-0.0016260431372078221,-0.001678003829720276,0.0005592599099666362
124,0.0,1.0,25.0,74.0,,-0.0017665749109780915,-0.0018170936024494155,0.0006385315654997559
125,0.0,1.0,26.0,73.0,,-0.0020698439690433057,-0.002116195277605204,0.0007831925756474067
126,0.0,1.0,27.0,72.0,,-0.002700244214641323,-0.0027430284920793024,0.0010681558627891885
127,0.0,1.0,28.0,71.0,,-0.003508654451919946,-0.003548562610219075,0.0014524474386206077
128,0.0,1.0,29.0,70.0,,-0.0040433471066170235,-0.00407941394964717,0.0017528712420493697
129,0.0,1.0,30.0,69.0,,-0.003799042541151265,-0.0038309399637891373,0.001725439504227877
130,0.0,1.0,31.0,68.0,,-0.0032524068511174953,-0.0032779928133300773,0.0015459063897622638
131,0.0,1.0,32.0,67.0,,-0.0029561279330799772,-0.002974011402646748,0.0014677788987109697
132,0.0,1.0,33.0,66.0,,-0.002662310130052692,-0.0026677416549759636,0.0013769727690371436
133,0.0,1.0,34.0,65.0,,-0.0025304031142132644,-0.0025367457066695076,0.0013684959238129402
134,0.0,1.0,35.0,64.0,,-0.0025858246577296073,-0.0025869443900534694,0.00145806966053863
135,0.0,1.0,36.0,63.0,,-0.002471756988137619,-0.0024642808484158785,0.0014502170970269734
136,0.0,1.0,37.0,62.0,,-0.002156064649337819,-0.002152808066385181,0.0013217987389109176
